SCH_NAME,ADDRESSES,NCESSCH
COMMUNITY HIGH,"35063 HWY BB, LADDONIA, MO 63352",291002000319
CONCORDIA ELEM.,"701 SW 4TH ST, CONCORDIA, MO 64020",291008000321
CONCORDIA HIGH,"117 SW 11TH ST, CONCORDIA, MO 64020",291008000322
EZARD ELEM.,"209 S SHILOH AVE, CONWAY, MO 65632",291011000323
CONWAY HIGH SCHOOLS,"726 W JEFFERSON AVE, CONWAY, MO 65632",291011000324
COOTER ELEM.,"MAIN ST, COOTER, MO 63839",291014000325
COOTER HIGH,"MAIN ST, COOTER, MO 63839",291014000326
COUCH ELEM.,"21922 HIghway 142, MYRTLE, MO 65778",291020000327
COUCH HIGH,"21922 Highway 142, MYRTLE, MO 65778",291020000328
COWGILL ELEM.,"341 E 6TH ST, COWGILL, MO 64637",291023000329
CRAIG ELEM.,"402 N WARD, CRAIG, MO 64437",291026000330
CRAIG HIGH,"402 N WARD, CRAIG, MO 64437",291026000331
CRANE ELEM.,"209 PIRATE LN, CRANE, MO 65633",291029000332
CRANE HIGH,"209 PIRATE LN, CRANE, MO 65633",291029000333
SHERWOOD ELEM.,"33300 S SHERWOOD DR, CREIGHTON, MO 64739",291032000334
SHERWOOD HIGH,"33300 S SHERWOOD DR, CREIGHTON, MO 64739",291032000335
SHERWOOD MIDDLE,"33300 S SHERWOOD DR, CREIGHTON, MO 64739",291032001610
