SCH_NAME,ADDRESSES,NCESSCH,URL,QUERY_RANKING
SCH_NAME,ADDRESSES,NCESSCH,URL,QUERY_RANKING
Lassen-Antelope Volcanic Academy (LAVA),"1660 Monroe St., Red Bluff, CA 96080",60276014049,,1
Antelope Valley High,"44900 N. Division St., Lancaster, CA 93535",60282000203,,1
Desert Winds Continuation High,"415 E. Kettering St., Lancaster, CA 93535",60282000204,,1
Palmdale High,"2137 E. Ave. R, Palmdale, CA 93550",60282000205,,1
Quartz Hill High,"6040 W. Ave. L, Quartz Hill, CA 93536",60282000206,,1
Lancaster High,"44701 32nd St. W., Lancaster, CA 93536",60282004582,,1
Phoenix High Community Day,"2270 E. Ave. Q, Palmdale, CA 93550",60282005827,,1
Desert Sands Charter,"44130 20th St. W., Lancaster, CA 93534",60282008714,,1
Highland High,"39055 25th St. W., Palmdale, CA 93551",60282009515,,1
Littlerock High,"10833 E. Ave. R, Littlerock, CA 93543",60282009516,,1
R. Rex Parris High,"38801 Clock Tower Plaza Dr., Palmdale, CA 93550",60282010514,,1
Eastside High,"3200 E. Ave. J-8, Lancaster, CA 93535",60282010823,,1
William J. (Pete) Knight High,"37423 70th St. E., Palmdale, CA 93552",60282011346,,1
SOAR High (Students On Academic Rise),"3041 W. Ave. K, Lancaster, CA 93536",60282011610,,1
Academies of the Antelope Valley,"6300 W. Ave. L, Quartz Hill, CA 93536",60282013154,,1
Jack London Elementary,"4550 Country Hills Dr., Antioch, CA 94531",60285000156,,1
Antioch High,"700 W. 18th St., Antioch, CA 94509",60285000207,,1
Antioch Middle,"1500 D St., Antioch, CA 94509",60285000208,,1
Belshaw Elementary,"2801 Roosevelt Ln., Antioch, CA 94509",60285000209,,1
Fremont Elementary,"1413 F St., Antioch, CA 94509",60285000211,,1
Kimball Elementary,"1310 August Way, Antioch, CA 94509",60285000212,,1
Live Oak High (Continuation),"1708 F St., Antioch, CA 94509",60285000213,,1
Marsh Elementary,"2304 G St., Antioch, CA 94509",60285000214,,1
Mission Elementary,"1711 Mission Dr., Antioch, CA 94509",60285000215,,1
Park Middle,"1 Spartan Way, Antioch, CA 94509",60285000216,,1
Sutter Elementary,"3410 Longview Rd., Antioch, CA 94509",60285000217,,1
Turner Elementary,"4207 Delta Fair Blvd., Antioch, CA 94509",60285000218,,1
Black Diamond Middle,"4730 Sterling Hill Dr., Antioch, CA 94531",60285004440,,1
Deer Valley High,"4700 Lone Tree Way, Antioch, CA 94531",60285005724,,1
Bridges,"501 W. 17th St., Antioch, CA 94509",60285007017,,1
Grant Elementary,"4325 Spaulding St., Antioch, CA 94531",60285007492,,1
Antioch Charter Academy,"3325 Hacienda Way, Antioch, CA 94509",60285007493,,1
Diablo Vista Elementary,"4791 Prewett Ranch Dr., Antioch, CA 94531",60285008454,,1
Prospects High (Alternative),"820 W. Second St., Antioch, CA 94509",60285009517,,1
Muir (John) Elementary,"615 Greystone Dr., Antioch, CA 94509",60285009703,,1
Carmen Dragon Elementary,"4721 Vista Grande Dr., Antioch, CA 94531",60285010752,,1
Dallas Ranch Middle,"1401 Mount Hamilton Dr., Antioch, CA 94531",60285011275,,1
Lone Tree Elementary,"1931 Mokelumne Dr., Antioch, CA 94531",60285011276,,1
Bidwell Continuation High,"800 Gary Ave., Antioch, CA 94509",60285011573,,1
Orchard Park,"5150 Live Oak Ave., Oakley, CA 94561",60285011904,,1
Antioch Charter Academy II,"1201 W. Tenth St., Antioch, CA 94509",60285011984,,1
Dozier-Libbey Medical High,"4900 Sand Creek Rd., Antioch, CA 94531",60285012278,,1
Arcadia High,"180 Campus Dr., Arcadia, CA 91007",60297000223,,1
Baldwin Stocker Elementary,"422 W. Lemon Ave., Arcadia, CA 91007",60297000224,,1
Camino Grove Elementary,"700 Camino Grove Ave., Arcadia, CA 91007",60297000226,,1
Richard Henry Dana Middle,"1401 S. First Ave., Arcadia, CA 91006",60297000227,,1
First Avenue Middle,"301 S. First Ave., Arcadia, CA 91006",60297000228,,1
Foothills Middle,"171 E. Sycamore Ave., Arcadia, CA 91006",60297000229,,1
Highland Oaks Elementary,"10 Virginia Dr., Arcadia, CA 91006",60297000230,,1
