#
# IDN Table for Korean
# Copyright 2015 CentralNic Ltd
#
# Table ID: ko
# Table type: Language
# Version: 1.0
# Published: 2011-05-12
# Referral URL: https://www.centralnic.com
#
# Policy Statement:
#
# No remarks.
#

U+AD93 # 궓 HANGUL SYLLABLE GWEOLB
U+AD94 # 궔 HANGUL SYLLABLE GWEOLS
U+AD95 # 궕 HANGUL SYLLABLE GWEOLT
U+AD96 # 궖 HANGUL SYLLABLE GWEOLP
U+AD97 # 궗 HANGUL SYLLABLE GWEOLH
U+AD98 # 궘 HANGUL SYLLABLE GWEOM
U+AD99 # 궙 HANGUL SYLLABLE GWEOB
U+AD9A # 궚 HANGUL SYLLABLE GWEOBS
U+AD9B # 궛 HANGUL SYLLABLE GWEOS
U+AD9C # 궜 HANGUL SYLLABLE GWEOSS
U+AD9D # 궝 HANGUL SYLLABLE GWEONG
U+AD9E # 궞 HANGUL SYLLABLE GWEOJ
U+AD9F # 궟 HANGUL SYLLABLE GWEOC
U+ADA0 # 궠 HANGUL SYLLABLE GWEOK
U+ADA1 # 궡 HANGUL SYLLABLE GWEOT
U+ADA2 # 궢 HANGUL SYLLABLE GWEOP
U+ADA3 # 궣 HANGUL SYLLABLE GWEOH
U+ADA4 # 궤 HANGUL SYLLABLE GWE
U+ADA5 # 궥 HANGUL SYLLABLE GWEG
U+ADA6 # 궦 HANGUL SYLLABLE GWEGG
U+ADA7 # 궧 HANGUL SYLLABLE GWEGS
U+ADA8 # 궨 HANGUL SYLLABLE GWEN
U+ADA9 # 궩 HANGUL SYLLABLE GWENJ
U+ADAA # 궪 HANGUL SYLLABLE GWENH
U+ADAB # 궫 HANGUL SYLLABLE GWED
U+ADAC # 궬 HANGUL SYLLABLE GWEL
U+ADAD # 궭 HANGUL SYLLABLE GWELG
U+ADAE # 궮 HANGUL SYLLABLE GWELM
U+ADAF # 궯 HANGUL SYLLABLE GWELB
U+ADB0 # 궰 HANGUL SYLLABLE GWELS
U+ADB1 # 궱 HANGUL SYLLABLE GWELT
U+ADB2 # 궲 HANGUL SYLLABLE GWELP
U+ADB3 # 궳 HANGUL SYLLABLE GWELH
U+ADB4 # 궴 HANGUL SYLLABLE GWEM
U+ADB5 # 궵 HANGUL SYLLABLE GWEB
U+ADB6 # 궶 HANGUL SYLLABLE GWEBS
U+ADB7 # 궷 HANGUL SYLLABLE GWES
U+ADB8 # 궸 HANGUL SYLLABLE GWESS
U+ADB9 # 궹 HANGUL SYLLABLE GWENG
U+ADBA # 궺 HANGUL SYLLABLE GWEJ
U+ADBB # 궻 HANGUL SYLLABLE GWEC
U+ADBC # 궼 HANGUL SYLLABLE GWEK
U+ADBD # 궽 HANGUL SYLLABLE GWET
U+ADBE # 궾 HANGUL SYLLABLE GWEP
U+ADBF # 궿 HANGUL SYLLABLE GWEH
